,date,home_team,away_team,home_team_fifa_rank,away_team_fifa_rank,home_team_score,away_team_score,tournament,country,neutral_location,shoot_out,home_team_result,year,stage,win_conditions,worldcup_id
3079,1998-06-10,Morocco,Norway,13.0,7.0,2.0,2.0,FIFA World Cup,France,True,No,Draw,1998,Group A, ,FIFAWorldCup1998
3080,1998-06-11,Cameroon,Austria,49.0,31.0,1.0,1.0,FIFA World Cup,France,True,No,Draw,1998,Group B, ,FIFAWorldCup1998
3081,1998-06-11,Italy,Chile,14.0,9.0,2.0,2.0,FIFA World Cup,France,True,No,Draw,1998,Group B, ,FIFAWorldCup1998
3082,1998-06-12,France,South Africa,18.0,24.0,3.0,0.0,FIFA World Cup,France,False,No,Win,1998,Group C, ,FIFAWorldCup1998
3083,1998-06-12,Paraguay,Bulgaria,29.0,35.0,0.0,0.0,FIFA World Cup,France,True,No,Draw,1998,Group D, ,FIFAWorldCup1998
3084,1998-06-12,Saudi Arabia,Denmark,34.0,27.0,0.0,1.0,FIFA World Cup,France,True,No,Lose,1998,Group C, ,FIFAWorldCup1998
3085,1998-06-13,Korea Republic,Mexico,20.0,4.0,1.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Group E, ,FIFAWorldCup1998
3086,1998-06-13,Netherlands,Belgium,25.0,36.0,0.0,0.0,FIFA World Cup,France,True,No,Draw,1998,Group E, ,FIFAWorldCup1998
3088,1998-06-13,Spain,Nigeria,15.0,74.0,2.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Group D, ,FIFAWorldCup1998
3089,1998-06-14,Argentina,Japan,6.0,12.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group H, ,FIFAWorldCup1998
3090,1998-06-14,Jamaica,Croatia,30.0,19.0,1.0,3.0,FIFA World Cup,France,True,No,Lose,1998,Group H, ,FIFAWorldCup1998
3091,1998-06-15,England,Tunisia,5.0,21.0,2.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group G, ,FIFAWorldCup1998
3092,1998-06-15,Germany,USA,2.0,11.0,2.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group F, ,FIFAWorldCup1998
3093,1998-06-15,Romania,Colombia,22.0,10.0,1.0,0.0,FIFA World Cup,France,True,No,Win,1998,Group G, ,FIFAWorldCup1998
